name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius,log_mass,mass_source
b Cen (AB)b,10.9,0.82286,1800000.0,556.0,0.4,873.8,Imaging,b Cen (AB),0.0895999999999999,5.5,0.96,5533.0,18850.402830781284,0.0019408061282176,9.032184334005978e+16,0.9865269461077844,0.0242621329866395,2.745074791582057,0.0098920863309352,5.555555555555555e-07,1.0963722511574077,0.2542857142857143,-0.1949692021313193,1.0374264979406236,Observed
BD-10 3166 b,0.51,1.03,3.4878,0.046,0.0103999999999999,793.0,Radial Velocity,BD-10 3166,0.5,0.99,1.71,5400.0,124976.87227747186,0.0828678605798099,4.018457466918715e+17,0.5789473684210527,0.2953150983427949,-1.337242168318426,21.52173913043478,0.2867136877114513,0.1979916447525914,0.6023391812865497,0.0295588022415444,-0.2924298239020636,Observed
BD-14 3065 Ab,12.37,1.93,4.2889731,0.0656,0.07,2000.0,Primary Transit,BD-14 3065 A,-0.34,1.41,2.35,6935.0,65162.10820080267,0.096101548445473,5.374996464043502e+17,0.6,0.4499911645517198,-1.1830961606243398,21.49390243902439,0.2331560438091812,0.108646446355817,0.8212765957446808,0.6575200029167941,1.0923696996291206,Observed
BD-17 63 b,5.325,0.2783632,655.6,1.34,0.54,744.976,Radial Velocity,BD-17 63,-0.03,0.74,0.69,4714.0,178633.74151740738,0.0128423860762975,275010145614622.4,1.072463768115942,0.0242621329866395,0.1271047983648076,0.5522388059701492,0.0015253203172666,2.252601907405886,0.2542857142857143,-1.278828543166981,0.7263196121107753,Observed
BD+20 594 b,0.0164,0.1989,41.68547,0.2226,0.0,613.0,Primary Transit,BD+20 594,-0.24,0.847,1.088,5748.0,157541.11867042448,0.0335521477718297,2.2030112647435e+16,0.7784926470588235,0.0047714467415144,-0.6524748400013105,3.80503144654088,0.0239891741654826,0.6576528768541369,0.1828125,-1.6149530931222105,-1.785156151952302,Observed
BD-21 397 c,4.47,0.406978,6369.25,5.96,0.296,715.0,"Radial Velocity, Astrometry",BD-21 397,0.12,0.679,0.747,4051.0,191618.66595103568,0.0058794653107964,7581522937626.712,0.9089692101740297,0.0242621329866395,0.7752462597402364,0.1139261744966443,0.0001570043568709,1.6289508057648343,0.2542857142857143,-0.8989961490545691,0.6503075231319364,Observed
BEBOP-2 (AB)b,2.84,0.9876,188.763,0.867,0.089,769.2,Primary Transit,BEBOP-2 (AB),0.34,2.4398,0.96,6030.0,54673.44620882631,0.02885905427083,1758859114354473.8,0.9865269461077844,0.0052319575340506,-0.0619809025237897,2.814071510957324,0.0052976483738868,1.0963722511574077,0.2542857142857143,-0.0124775215111125,0.45331834004703764,Observed
beta Pic b,11.9,1.35,7707.0,9.93,0.103,1231.0,Imaging,beta Pic,0.0972,1.73,1.8,8052.0,60662.87269160334,0.0080955015051632,42630121249224.086,0.961111111111111,0.000175165434021,0.9969492484953812,0.1742195367573011,0.0001297521733489,0.296639231824417,0.75,0.3001045924503381,1.0755469613925308,Observed
beta Pic c,8.89,1.2,1227.0,2.68,0.3199999999999999,1268.6,Radial Velocity,beta Pic,0.0724,1.73,1.8,8052.0,78214.04436383463,0.013723664729618,585255463740200.4,0.961111111111111,0.0009779951100244,0.4281347940287888,0.6455223880597014,0.0008149959250203,0.296639231824417,0.6666666666666666,0.1823215567939546,0.9489017609702137,Observed
beta Pic d,2.4,0.70614,36815.20261578929,26.0,0.05,600.0,Imaging,beta Pic,-0.028,1.73,1.8,8052.0,77114.19797687863,0.004437373866757,6218252725987.598,0.961111111111111,0.0242621329866395,1.414973347970818,0.0665384615384615,2.7162691740045465e-05,0.296639231824417,0.2542857142857143,-0.3479417608645112,0.38021124171160603,Observed
CD Cet b,0.01244,0.3768,2.2907,0.0185,0.0266,464.0,Radial Velocity,CD Cet,0.13,0.161,0.175,3130.0,828745.6205950292,0.0507438460657538,2.804360835938642e+17,0.92,0.0242621329866395,-1.7328282715969865,8.702702702702704,0.4365477801545379,30.04081632653062,0.2542857142857143,-0.976040736279929,-1.9051796196452002,Observed
CHXR 73 b,12.0,0.5389999999999999,1746228.998237549,200.0,0.184,771.8,Imaging,CHXR 73,-0.238,0.35,0.96,5533.0,381164.4642857143,0.0007196290192776,9.032184334005978e+16,0.9865269461077844,0.0242621329866395,2.3010299956639813,0.0017499999999999,5.726625780520708e-07,1.0963722511574077,0.2542857142857143,-0.61803970807314,1.0791812460476249,Observed
COCONUTS-2 b,7.3,1.03,312569402.31427133,6471.0,0.0376,496.0,Imaging,COCONUTS-2,0.0,0.37,0.388,3406.0,360560.9797297297,0.0001300782860437,3213925.273750168,0.9536082474226804,3.295268162442822e-09,3.810971399822208,5.7178179570390974e-05,3.199289478099827e-09,6.334415502595124,2.654639175257732,0.0295588022415444,0.8633228601204559,Observed
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,1006.14,Primary Transit,CoRoT-10,0.26,0.89,0.79,5075.0,149299.36220310754,0.0500638981547245,5.959904037560926e+16,1.1265822784810129,0.073259519961331,-0.9767475403662884,8.436018957345972,0.0755252783106505,1.805131034258953,1.2278481012658229,-0.0304592074847085,0.43933269383026263,Observed
CoRoT-11 b,2.33,1.43,2.994325,0.04351,0.0,1437.8000000000002,Primary Transit,CoRoT-11,0.04,1.27,1.36,6343.0,108850.54873239846,0.0912998397686903,8.550680497529983e+17,0.9338235294117646,0.4775700700491763,-1.361410916707283,29.188692254654104,0.333965083950473,0.5048786383065336,1.051470588235294,0.3576744442718159,0.367355921026019,Observed
CoRoT-12 b,0.917,1.44,2.8280517,0.04016,0.07,950.4,Primary Transit,CoRoT-12,0.16,1.078,1.116,5675.0,123479.13451397492,0.089224932463693,6.430963655590692e+17,0.9659498207885304,0.5091844678794238,-1.396206295863037,26.842629482071715,0.3536003249162665,0.7755792422924055,1.290322580645161,0.3646431135879092,-0.03763066432997889,Observed
