name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_mass,mass_source
BD-10 3166 b,0.51,1.03,3.4878,0.046,Radial Velocity,BD-10 3166,0.5,0.99,1.71,5400.0,0.0295588022415444,124976.87227747186,0.0828678605798099,4.018457466918715e+17,0.5789473684210527,0.2953150983427949,-1.337242168318426,21.52173913043478,0.2867136877114513,0.1979916447525914,0.6023391812865497,-0.2924298239020636,Observed
BD-14 3065 Ab,12.37,1.93,4.2889731,0.0656,Primary Transit,BD-14 3065 A,-0.34,1.41,2.35,6935.0,0.6575200029167941,65162.10820080267,0.096101548445473,5.374996464043502e+17,0.6,0.4499911645517198,-1.1830961606243398,21.49390243902439,0.2331560438091812,0.108646446355817,0.8212765957446808,1.0923696996291206,Observed
BD+20 594 b,0.0164,0.1989,41.68547,0.2226,Primary Transit,BD+20 594,-0.24,0.847,1.088,5748.0,-1.6149530931222105,157541.11867042448,0.0335521477718297,2.2030112647435e+16,0.7784926470588235,0.0047714467415144,-0.6524748400013105,3.80503144654088,0.0239891741654826,0.6576528768541369,0.1828125,-1.785156151952302,Observed
BEBOP-2 (AB)b,2.84,0.9876,188.763,0.867,Primary Transit,BEBOP-2 (AB),0.34,2.4398,0.94,6030.0,-0.0124775215111125,54673.44620882631,0.02885905427083,1758859114354473.8,0.9957332605531296,0.0052319575340506,-0.0619809025237897,2.814071510957324,0.0052976483738868,1.146640925529523,0.2542857142857143,0.45331834004703764,Observed
beta Pic b,11.9,1.35,7707.0,9.93,Imaging,beta Pic,0.0836,1.73,1.8,8052.0,0.3001045924503381,60662.87269160334,0.0080955015051632,42630121249224.086,0.961111111111111,0.000175165434021,0.9969492484953812,0.1742195367573011,0.0001297521733489,0.296639231824417,0.75,1.0755469613925308,Observed
beta Pic c,8.89,1.2,1227.0,2.68,Radial Velocity,beta Pic,0.0836,1.73,1.8,8052.0,0.1823215567939546,78214.04436383463,0.013723664729618,585255463740200.4,0.961111111111111,0.0009779951100244,0.4281347940287888,0.6455223880597014,0.0008149959250203,0.296639231824417,0.6666666666666666,0.9489017609702137,Observed
COCONUTS-2 b,7.3,1.03,312569402.31427133,6471.0,Imaging,COCONUTS-2,0.0,0.37,0.388,3406.0,0.0295588022415444,360560.9797297297,0.0001300782860437,3213925.273750168,0.9536082474226804,3.295268162442822e-09,3.810971399822208,5.7178179570390974e-05,3.199289478099827e-09,6.334415502595124,2.654639175257732,0.8633228601204559,Observed
CoRoT-10 b,2.75,0.97,13.2406,0.1055,Primary Transit,CoRoT-10,0.26,0.89,0.79,5075.0,-0.0304592074847085,149299.36220310754,0.0500638981547245,5.959904037560926e+16,1.1265822784810129,0.073259519961331,-0.9767475403662884,8.436018957345972,0.0755252783106505,1.805131034258953,1.2278481012658229,0.43933269383026263,Observed
CoRoT-11 b,2.33,1.43,2.994325,0.04351,Primary Transit,CoRoT-11,0.04,1.27,1.36,6343.0,0.3576744442718159,108850.54873239846,0.0912998397686903,8.550680497529983e+17,0.9338235294117646,0.4775700700491763,-1.361410916707283,29.188692254654104,0.333965083950473,0.5048786383065336,1.051470588235294,0.367355921026019,Observed
CoRoT-12 b,0.917,1.44,2.8280517,0.04016,Primary Transit,CoRoT-12,0.1599999999999999,1.078,1.116,5675.0,0.3646431135879092,123479.13451397492,0.089224932463693,6.430963655590692e+17,0.9659498207885304,0.5091844678794238,-1.396206295863037,26.842629482071715,0.3536003249162665,0.7755792422924055,1.290322580645161,-0.03763066432997889,Observed
CoRoT-13 b,1.308,0.885,4.0350906,0.051,Primary Transit,CoRoT-13,0.01,1.09,1.01,5945.0,-0.1221676339742075,122742.80744365563,0.0794139419487034,4.8024967941200506e+17,1.0792079207920793,0.2193259303768792,-1.2924298239020635,21.372549019607845,0.247825910030372,1.0579432612411324,0.8762376237623762,0.11660774398824848,Observed
CoRoT-14 b,7.6,1.09,1.51214,0.027,Primary Transit,CoRoT-14,0.05,1.13,1.21,6035.0,0.0861776962410524,116169.65806025508,0.1121893497254545,1.8196236358033267e+18,0.933884297520661,0.7208327271284405,-1.5686362358410126,41.85185185185185,0.6613144285582022,0.6378555409607685,0.9008264462809918,0.8808135922807914,Observed
CoRoT-16 b,0.535,1.17,5.35227,0.0618,Primary Transit,CoRoT-16,0.19,1.098,1.19,5650.0,0.1570037488096647,121369.7904455245,0.0725488161067544,2.668190546417612e+17,0.9226890756302524,0.2185988375025923,-1.209011524911184,17.766990291262136,0.1868366132500789,0.6515705639645875,0.9831932773109244,-0.27164621797877153,Observed
CoRoT-17 b,2.43,1.02,3.768125,0.0461,Primary Transit,CoRoT-17,0.0,1.04,1.59,5740.0,0.0198026272961797,144926.50740953698,0.0768697542308121,5.107939195467741e+17,0.6540880503144654,0.2706916569912092,-1.3362990746103518,22.559652928416487,0.2653839774423619,0.2587271272158796,0.6415094339622641,0.38560627359831223,Observed
CoRoT-18 b,3.47,1.31,1.90009057,0.0295,Primary Transit,CoRoT-18,-0.1,0.95,1.0,5440.0,0.2700271372130602,140631.48322673398,0.0975500691852798,1.0063558298879631e+18,0.95,0.6894408196552442,-1.530177984021837,32.20338983050848,0.526290702026904,0.95,1.31,0.5403294747908738,Observed
CoRoT-19 b,1.11,1.29,3.8971372,0.0518,Primary Transit,CoRoT-19,-0.02,1.21,1.65,6090.0,0.2546422183735807,109270.29406752365,0.0835148936793661,5.126366488312637e+17,0.7333333333333334,0.3310122107068748,-1.285670240254767,23.35907335907336,0.2565986129510657,0.2693602693602693,0.7818181818181819,0.045322978786657475,Observed
CoRoT-1 b,1.03,1.49,1.50896846,0.0254,Primary Transit,CoRoT-1,0.065,1.26,1.29,6355.0,0.3987761199573678,138950.19957661553,0.1057629175379593,2.5281031299222287e+18,0.9767441860465116,0.9874295185732378,-1.595166283380062,49.60629921259843,0.6627043748813677,0.5869504152674188,1.1550387596899223,0.012837224705172217,Observed
CoRoT-20 b,4.24,0.84,9.2431839,0.0902,Primary Transit,CoRoT-20,0.14,1.14,0.92,5880.0,-0.1743533871447778,116418.92234691425,0.0613147288682202,1.4692517924690634e+17,1.2391304347826084,0.0908777764337243,-1.0447934624580582,12.638580931263856,0.108187829087767,1.4640009862743484,0.9130434782608696,0.6273658565927327,Observed
CoRoT-21 b,2.26,1.3,2.72474,0.0417,Primary Transit,CoRoT-21,0.0,1.29,1.95,6200.0,0.262364264467491,102386.32850392046,0.0961592031934748,8.497567988774447e+17,0.6615384615384615,0.4771097425809434,-1.3798639450262424,30.93525179856115,0.3670074942930334,0.1739746118444343,0.6666666666666667,0.35410843914740087,Observed
CoRoT-22 b,0.06,0.4354,9.75598,0.092,Primary Transit,CoRoT-22,0.17,1.099,1.136,5939.0,-0.8314901301816899,122230.14321576804,0.0592511514230781,1.4698656690711734e+17,0.9674295774647887,0.0446290377799052,-1.0362121726544449,11.945652173913045,0.1025012351398834,0.74965716861175,0.3832746478873239,-1.2218487496163564,Observed
CoRoT-23 b,2.8,1.08,3.6314,0.0477,Primary Transit,CoRoT-23,0.05,1.14,1.61,5900.0,0.0769610411361284,121504.68989448424,0.0825323399109066,5.325633655490069e+17,0.7080745341614906,0.2974059591342182,-1.321481620959886,23.89937106918239,0.275375888087239,0.2731663647858842,0.6708074534161491,0.4471580313422192,Observed
CoRoT-24 b,0.018,0.33,5.1134,0.056,Primary Transit,CoRoT-24,0.3,0.91,0.86,4950.0,-1.1086626245216111,148886.54541727406,0.0688110410298542,1.9144531449298467e+17,1.058139534883721,0.0645363163452888,-1.2518119729937995,16.25,0.1955645949857237,1.4306916372143337,0.3837209302325581,-1.744727494896694,Observed
CoRoT-24 c,0.088,0.44,11.759,0.098,Primary Transit,CoRoT-24,0.3,0.91,0.86,4950.0,-0.8209805520698302,146913.78698501474,0.0523643303090058,6.251275575281132e+16,1.058139534883721,0.0374181478016838,-1.0087739243075051,9.285714285714286,0.0850412450038268,1.4306916372143337,0.5116279069767442,-1.0555173278498313,Observed
CoRoT-25 b,0.27,1.08,4.86069,0.0578,Primary Transit,CoRoT-25,-0.01,1.09,1.19,6040.0,0.0769610411361284,122352.35493319566,0.0747153409814203,3.9837500106560026e+17,0.915966386554622,0.22219067663233,-1.238072161579471,18.858131487889278,0.2057321079928981,0.6468232374511842,0.907563025210084,-0.5686362358410126,Observed
CoRoT-26 b,0.52,1.26,4.20474,0.0526,Primary Transit,CoRoT-26,0.01,1.09,1.79,5590.0,0.2311117209633866,121484.55306771364,0.0786007094749369,3.529195714879498e+17,0.6089385474860336,0.299661810242726,-1.279014255846261,20.722433460076047,0.237826833525973,0.190049794789811,0.7039106145251397,-0.28399665636520083,Observed
CoRoT-27 b,10.39,1.007,3.57532,0.0476,Primary Transit,CoRoT-27,0.1,1.05,1.08,5900.0,0.0069756137364251,118524.7310342822,0.0836511474837911,5.348033772332461e+17,0.9722222222222222,0.2816531107705044,-1.322393047279507,22.058823529411764,0.2796952440620699,0.833523853071178,0.9324074074074072,1.0166155475571774,Observed
CoRoT-29 b,0.85,0.9,2.85057,0.039,Primary Transit,CoRoT-29,0.2,0.976,0.9,5260.0,-0.1053605156578262,136983.92294037322,0.0859632378717252,5.0328474014464166e+17,1.0844444444444443,0.3157263284185268,-1.408935392973501,25.025641025641026,0.3508070315761409,1.3388203017832645,1.0,-0.07058107428570728,Observed
CoRoT-2 Ab,3.31,1.465,1.7429964,0.0281,Primary Transit,CoRoT-2 A,-0.0399999999999999,0.972,0.938,5529.0,0.3818552424690307,136922.2479088154,0.1012953940305019,1.183514872867974e+18,1.0362473347547976,0.840506612635574,-1.5512936800949202,34.59074733096085,0.5737246502631904,1.1777625746777811,1.5618336886993605,0.5198279937757188,Observed
CoRoT-30 b,2.9,1.009,9.06005,0.0844,Primary Transit,CoRoT-30,0.0199999999999999,0.98,0.91,5660.0,0.0089597413714718,136531.81040919528,0.0585317785140211,1.44072413490263e+17,1.0769230769230769,0.1113680388077328,-1.0736575533743449,11.611374407582938,0.1103746668064745,1.3004746732557382,1.1087912087912086,0.4623979978989561,Observed
CoRoT-31 b,0.84,1.46,4.62941,0.0586,Primary Transit,CoRoT-31,0.0,1.25,2.15,5370.0,0.378436435720245,106502.16659533206,0.07953381942855,2.421597227719601e+17,0.5813953488372093,0.3153749613881682,-1.2321023839819094,21.331058020477816,0.2160102475261426,0.1257750889858754,0.6790697674418604,-0.07572071393811836,Observed
CoRoT-32 b,0.15,0.57,6.71837,0.071,Primary Transit,CoRoT-32,0.0,1.09,0.79,5970.0,-0.5621189181535413,126110.94785267848,0.0664009509463978,2.519884453104543e+17,1.379746835443038,0.0848420078084416,-1.1487416512809248,15.35211267605634,0.1488456277341081,2.2107784576879315,0.7215189873417721,-0.8239087409443188,Observed
CoRoT-35 b,1.1,1.68,3.22748,0.0429,Primary Transit,CoRoT-35,-0.5,1.01,1.65,6390.0,0.5187937934151675,131933.5483330593,0.0835167529087722,9.059179152525796e+17,0.6121212121212122,0.5205299490624264,-1.3675427078152758,23.543123543123546,0.3098392553943014,0.224837910788324,1.0181818181818183,0.04139268515822508,Observed
CoRoT-36 b,0.68,1.41,5.616531,0.066,Primary Transit,CoRoT-36,-0.1,1.32,1.52,6730.0,0.3435897043900768,109724.72825347482,0.0738338718817456,4.7094738071854906e+17,0.868421052631579,0.2510446394758615,-1.1804560644581312,20.0,0.1780458435999017,0.3758747630849978,0.9276315789473684,-0.16749108729376366,Observed
CoRoT-4 b,0.72,1.19,9.20166201,0.09,Primary Transit,CoRoT-4,0.05,1.1,1.15,6190.0,0.1739533071234379,116146.20541327469,0.0614548412049491,1.8124981718641978e+17,0.9565217391304348,0.129324463200969,-1.0457574905606752,12.222222222222223,0.1086760194966126,0.7232678556751871,1.0347826086956522,-0.14266750356873156,Observed
CoRoT-5 b,0.467,1.33,4.0379148,0.04947,Primary Transit,CoRoT-5,-0.25,1.0,1.186,6100.0,0.2851789422336624,134675.49209075014,0.0769776462708361,5.657642733206474e+17,0.8431703204047218,0.3293779254579616,-1.3056580896358188,20.21427127552052,0.2476525755323019,0.599440294444689,1.12141652613828,-0.33068311943388784,Observed
CoRoT-6 b,2.96,1.166,8.886593,0.0855,Primary Transit,CoRoT-6,-0.2,1.055,1.025,6090.0,0.1535790879283005,126349.12430319276,0.0604520026700732,1.881641751800554e+17,1.0292682926829269,0.1312088896160767,-1.0680338852718274,12.339181286549708,0.1125290648508376,0.9796723785203352,1.1375609756097562,0.4712917110589386,Observed
CoRoT-7 Ab,0.01907,0.136,0.8535,0.0172,Primary Transit,CoRoT-7 A,0.0299999999999999,0.93,0.87,5313.0,-1.995100393246085,143160.00674468916,0.1266207232378311,2.6934093897544653e+18,1.0689655172413794,0.159343878148799,-1.764471553092451,54.06976744186047,1.1716461628588166,1.412294249228933,0.1563218390804598,-1.7196493069539944,Observed
CoRoT-8 b,0.2158,0.5692,6.21229,0.063,Primary Transit,CoRoT-8,0.3,0.88,0.77,5080.0,-0.5635234127664397,154341.17203605722,0.0637189626292903,1.677929657243638e+17,1.1428571428571428,0.0916248275595633,-1.2006594505464183,13.968253968253968,0.1609712360498302,1.92757150085536,0.7392207792207792,-0.6659485596531082,Observed
CoRoT-9 Ab,0.84,0.94,95.273804,0.407,Primary Transit,CoRoT-9 A,-0.01,0.99,0.94,5625.0,-0.0618754037180875,134636.80083608325,0.0268411285438134,6043677597755646.0,1.0531914893617025,0.0098663007094793,-0.39040559077478,2.4324324324324325,0.0104960645845525,1.1919324234514512,1.0,-0.07572071393811836,Observed
CT Cha b,9.7,2.2,8.05380809,500.0,Imaging,CT Cha,-0.0013422812997046,0.9367040345199568,0.94,5573.0,0.7884573603642703,137950.0679347825,0.0585918263646933,1.300672220682913e+17,0.9957332605531296,0.0242621329866395,2.6989700043360187,11.632943684351554,0.1241648661426363,1.146640925529523,0.2542857142857143,0.9867717342662449,Observed
DH Tau b,11.3,2.6,2722900.0,234.0,Imaging,DH Tau,-0.126,0.4099999999999999,1.26,3600.0,0.9555114450274363,578649.8056958829,0.0005399630400969,3067455621.301775,0.3253968253968253,9.54864299092879e-07,2.369215857410143,0.0017521367521367,3.672554996511073e-07,0.204961467244158,2.063492063492064,1.0530784434834197,Observed
DS Tuc Ab,0.0453,0.5085,8.138268,0.0795,Primary Transit,DS Tuc A,-0.08,0.959,0.872,5597.0,-0.6762900634935225,131814.31858578557,0.0613783217658569,1.5526979167521552e+17,1.0997706422018347,0.0624825822890079,-1.0996328713435295,12.062893081761006,0.1228762680216478,1.446335854255001,0.5831422018348623,-1.3439017979871681,Observed
G 9-40 b,0.013,0.17,5.7459982,0.0418,Primary Transit,G 9-40,0.04,0.29,0.31,3348.0,-1.7719568419318752,452066.2925282247,0.0457078364278127,7.190999089009868e+16,0.935483870967742,0.0295858080846596,-1.3788237182249647,6.937799043062201,0.1740341652038805,9.73448356886308,0.5483870967741936,-1.8860566476931633,Observed
Gaia-1 b,1.68,1.229,3.042524,0.04047,Primary Transit,Gaia-1,0.0139999999999999,0.93,0.962,5370.0,0.2062008305838978,139658.8341342917,0.0835755147310449,5.077275553206092e+17,0.9667359667359668,0.4039409385102632,-1.3928667956084333,22.979985174203115,0.3286744821076185,1.0446185471362577,1.2775467775467777,0.22530928172586284,Observed
Gaia-2 b,0.773,1.327,3.6915237,0.0467,Primary Transit,Gaia-2,0.0328999999999999,1.0,1.064,5720.0,0.2829207553500704,133801.40698763396,0.0794860815454839,4.908517616936205e+17,0.9398496240601504,0.3594721605065138,-1.330683119433888,21.413276231263385,0.2708908519265364,0.8301854472236897,1.2471804511278195,-0.11182050608167508,Observed
GJ 1018 b,0.00843,0.1356,7.397225,0.0559,Primary Transit,GJ 1018,-0.39,0.427,0.428,3433.0,-1.9980459034758415,313258.045448734,0.0474813269396752,4.444998286907716e+16,0.9976635514018692,0.0183311985237707,-1.2525881921135766,7.638640429338103,0.1351858298213181,5.446237397381154,0.3168224299065421,-2.0741724253752576,Observed
GJ 1132 b,0.00522,0.1035,1.628931,0.0154,Primary Transit,GJ 1132,-0.12,0.181,0.207,3270.0,-2.2681836662767134,726512.7062997087,0.0594015668745733,4.821138067549334e+17,0.8743961352657005,0.0635386029242491,-1.812479279163537,11.753246753246753,0.613899545161827,20.406453715739,0.5,-2.282329496997738,Observed
GJ 1214 b,0.02571,0.24463,1.580404497,0.01411,Primary Transit,GJ 1214,0.39,0.15,0.216,3026.0,-1.408008414026645,889109.9538053288,0.0560968694107075,4.2113532063289306e+17,0.6944444444444444,0.1547894861501396,-1.850472986245652,10.630758327427356,0.632749401750152,14.884354519128182,1.1325462962962962,-1.5898979233571393,Observed
GJ 1252 b,0.00415,0.1053,0.5182349,0.00916,Primary Transit,GJ 1252,0.1,0.381,0.391,3458.0,-2.2509418598422077,349435.394262282,0.1110577026243601,1.7041546676228526e+18,0.9744245524296676,0.2031897118468864,-2.0381045263321496,41.5938864628821,1.929626893132824,6.373745281818326,0.269309462915601,-2.381951903287907,Observed
GJ 143 b,0.0815,0.2506,35.613442,0.1904,Primary Transit,GJ 143,0.003,0.76,0.73,4640.0,-1.3838972365201692,183749.88139324,0.0335917680320535,1.278609815690982e+16,1.0410958904109588,0.0070366689072064,-0.7203330559515444,3.9915966386554618,0.0280792853440001,1.9536421287501575,0.3432876712328767,-1.0888423912600234,Observed
GJ 143 c,0.01164,0.08779,7.789787,0.0691,Primary Transit,GJ 143,0.003,0.76,0.73,4640.0,-2.43280768004402,183914.945710947,0.0557355553786142,9.707688393046008e+16,1.0410958904109588,0.0112698845295769,-1.1605219526258015,10.998552821997109,0.1283732148260279,1.9536421287501575,0.1202602739726027,-1.9340470196861304,Observed
GJ 3090 b,0.01051,0.19,2.8531054,0.03165,Primary Transit,GJ 3090,-0.06,0.519,0.516,3556.0,-1.6607312068216509,256752.3861478512,0.0697004796851297,1.5962451123788877e+17,1.005813953488372,0.0665941047954274,-1.499626285646626,16.398104265402846,0.3504952883969867,3.777619860166051,0.3682170542635659,-1.9783972839717578,Observed
GJ 341 b,0.00227,0.0821,7.576863,0.0608,Primary Transit,GJ 341,-0.082,0.522,0.525,3745.0,-2.4998172625237545,255427.78161192636,0.0504189750661347,5.321084180515954e+16,0.9942857142857144,0.0108356189098311,-1.216096420727265,8.585526315789474,0.1319807418980652,3.607385811467444,0.1563809523809524,-2.6439741428068775,Observed
GJ 3470 b,0.0437,0.38826,3.336649,0.03557,Primary Transit,GJ 3470,0.2,0.51,0.48,3652.0,-0.9460800606849074,247382.77166493933,0.0669812441693381,1.4059029592827018e+17,1.0625,0.1163622544654831,-1.4489161348142197,14.337925217880237,0.2997018865334652,4.611545138888889,0.808875,-1.359518563029578,Observed
GJ 3473 Ab,0.00585,0.11277,1.1980035,0.01589,Primary Transit,GJ 3473 A,0.11,0.36,0.364,3347.0,-2.1824049327379407,357721.0378510309,0.0833384998717313,4.970213618694644e+17,0.989010989010989,0.0941316114685808,-1.7988761027926203,22.65575833857772,0.83472210223092,7.464459221493396,0.3098076923076923,-2.2328441339178196,Observed
GJ 357 b,0.006566,0.10411,3.93086,0.033,Primary Transit,GJ 357,-0.12,0.3420000000000001,0.337,3505.0,-2.2623072464954754,429965.2263572362,0.0527480284560951,1.3858754752123506e+17,1.0148367952522257,0.0264852983825422,-1.4814860601221125,10.363636363636363,0.254397256579985,8.935860976606516,0.3089317507418397,-2.182699121606679,Observed
GJ 367  b,0.001583,0.06566,0.3219225,0.0069,Primary Transit,GJ 367,-0.01,0.454,0.457,3522.0,-2.7232653669086906,315468.05721076136,0.1346720984694737,3.23190975228431e+18,0.9934354485776804,0.2039621337433699,-2.161150909262745,65.79710144927536,3.1063377055036536,4.756716328915535,0.1436761487964989,-2.800519085137644,Observed
GJ 3929 b,0.00381,0.1026,2.6162745,0.02569,Primary Transit,GJ 3929,0.0,0.3089999999999999,0.35,3369.0,-2.276917346245468,403714.45889773057,0.0616965194368723,1.951982120654384e+17,0.8828571428571429,0.0392160684973996,-1.5902358957336538,12.028026469443365,0.3822228898382032,7.206997084548107,0.2931428571428571,-2.4190750243243806,Observed
GJ 436 b,0.05836,0.32519,2.64394,0.02887,Radial Velocity,GJ 436,-0.32,0.452,0.464,3684.0,-1.123345652088785,290511.1723604423,0.0686080470125171,2.209962571065089e+17,0.9741379310344828,0.1229944703737603,-1.5395532161192795,15.656390717007277,0.37822340900323,4.524644819385788,0.7008405172413792,-1.233884716778586,Observed
GJ 486 b,0.00887,0.11643,1.467119,0.01734,Primary Transit,GJ 486,0.07,0.3229999999999999,0.328,3340.0,-2.1504650449332123,412841.5534400689,0.0742614833742143,4.138926183567938e+17,0.9847560975609756,0.0793596156821634,-1.7609509068598084,18.627450980392155,0.6816079677244995,9.153369437471886,0.3549695121951219,-2.0520763801682738,Observed
GJ 523 b,0.0739,0.2275,17.74574,0.1226,Primary Transit,GJ 523,-0.193,0.781,0.702,4660.0,-1.480605040591132,170890.0661400404,0.0434086444780672,3.137348233622252e+16,1.1125356125356127,0.0128199782032194,-0.9115095298176038,6.370309951060359,0.056351552541624,2.257562058213028,0.3240740740740741,-1.1313555616051743,Observed
GJ 777 Ad,0.0362,0.18,88.69,0.3886,Radial Velocity,GJ 777 A,0.19,0.98,1.168,5549.0,-1.7147984280919266,134042.00673347327,0.02753011399673,6278462530172189.0,0.839041095890411,0.0020295410982072,-0.4104972037362362,2.521873391662378,0.0112752283233735,0.6150317659639555,0.1541095890410959,-1.4412914294668342,Observed
GJ 7 b,0.00997,0.1213,10.215213,0.0675,Primary Transit,GJ 7,-0.7,0.467,0.44,3650.0,-2.1094884630321324,339299.7462106191,0.0415179799221633,3.895506310013717e+16,1.0613636363636365,0.0118744464750759,-1.1706962271689751,6.918518518518519,0.0978932108415164,5.482250187828701,0.2756818181818182,-2.001304841688344,Observed
GJ 9827 b,0.01532,0.13641,1.2089765,0.01866,Primary Transit,GJ 9827,-0.28,0.659,0.651,4255.0,-1.992090222477108,224957.66737226635,0.0969780949687368,9.414017013730932e+17,1.012288786482335,0.1128309772770604,-1.7290883605895189,35.31618435155413,0.8271459370798357,2.388594615119678,0.2095391705069124,-1.8147412347034149,Observed
GJ 9827 c,0.00604,0.107,3.648086,0.03896,Primary Transit,GJ 9827,-0.28,0.659,0.651,4255.0,-2.234926444520231,225047.03271135665,0.0671017348734971,2.159535567534549e+17,1.012288786482335,0.0293304488984086,-1.409381051793422,16.914784394250514,0.2741163448449406,2.388594615119678,0.1643625192012288,-2.2189630613788682,Observed
GJ 9827 d,0.01076,0.17441,6.20183,0.0555,Primary Transit,GJ 9827,-0.28,0.659,0.651,4255.0,-1.7463464297015598,224988.73072575865,0.0562280463264015,1.064173136111111e+17,1.012288786482335,0.0281223445337908,-1.2557070168773237,11.873873873873874,0.1612427299684125,2.388594615119678,0.267910906298003,-1.9681877286696297,Observed
Gliese 12 b,0.00223,0.08065,12.761416,0.066,Primary Transit,Gliese 12,-0.3,0.241,0.269,3253.0,-2.517636474410919,566455.6666007736,0.0324956282495494,2.5706821505069096e+16,0.8959107806691449,0.0063198315923562,-1.1804560644581312,3.651515151515152,0.0783612100726126,12.38112768852206,0.299814126394052,-2.6516951369518393,Observed
GU Psc b,11.0,1.35,55220609.50664809,2000.0,Imaging,GU Psc,-0.244,0.35,0.94,5573.0,0.3001045924503381,381164.4642857143,0.000227566677127,1.300672220682913e+17,0.9957332605531296,2.444739404474468e-08,3.3010299956639813,0.000175,1.8109180773884947e-08,1.146640925529523,0.2542857142857143,1.0413926851582251,Observed
HAT-P-10 Ab,0.46,1.045,3.722469,0.0439,Primary Transit,HAT-P-10 A,0.13,0.82,0.81,4980.0,0.0440168854167742,163782.9234152492,0.0740991624067746,3.191452099978726e+17,1.0123456790123455,0.2807276568320649,-1.3575354797578787,18.67881548974943,0.2686389060593923,1.5429746669903148,1.2901234567901232,-0.3372421683184259,Observed
