,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
40,55 Cnc Ae,0.02703,0.17370000000000002,0.7365478,0.015439,0.02800000000000001,885.2,"Radial Velocity, Primary Transit",55 Cnc A,0.35,0.9,0.963,5250.0,147415.9147499842,0.13170373729654156,3.187123401943377e+18,0.9345794392523366,0.2358299081200161,-1.8113808327921512,58.29393095407734,1.3576851359816702,1.007775156655373,0.18037383177570093,-1.7504256057350778
41,55 Cnc Af,,0.179052,260.91,0.7733,0.08,806.0,Radial Velocity,55 Cnc A,0.35,0.9,0.963,5250.0,147210.03605010678,0.018622464443838773,1270402071586503.2,0.9345794392523366,0.02426213298663954,-0.11165198982195101,1.163843269106427,0.0038327392587482268,1.007775156655373,0.2542857142857143,-1.7200790125358523
42,55 Cnc Bb,,1.03088,6.7994,0.044,0.0,1531.8,Radial Velocity,55 Cnc B,0.16,0.26,0.274,3286.0,542729.1552404208,0.04065949253109123,6.022334631075207e+16,0.948905109489051,0.02426213298663954,-1.3565473235138126,5.90909090909091,0.14707180045298113,12.639260342706736,0.2542857142857143,0.030412806408195263
43,55 Cnc Bc,,1.03088,33.747,0.13,0.0,1531.8,Radial Velocity,55 Cnc B,0.16,0.26,0.274,3286.0,518370.50933090574,0.02420405043213756,6898958488616331.0,0.948905109489051,0.02426213298663954,-0.8860566476931632,2.0,0.029632263608617062,12.639260342706736,0.2542857142857143,0.030412806408195263
44,61 Vir b,0.052,0.24019999999999997,4.215,0.050201,0.12,1160.8,Radial Velocity,61 Vir,-0.01,0.95,0.94,5531.0,140429.40407782712,0.07483325874394364,3.713555314037922e+17,1.0106382978723405,0.02426213298663954,-1.2992876316566475,18.92392581821079,0.2372479240806643,1.143773537655433,0.2542857142857143,-1.426283369336254
45,61 Vir c,0.021,0.21040000000000003,38.021,0.2175,0.14,1255.1999999999998,Radial Velocity,61 Vir,-0.01,0.95,0.94,5531.0,140497.72320551315,0.03594310523951395,1.9783180400592332e+16,1.0106382978723405,0.02426213298663954,-0.6625407387093438,4.3678160919540225,0.02630125456984298,1.143773537655433,0.2542857142857143,-1.558744798118582
46,61 Vir d,,0.1688,123.01,0.476,0.35,1095.8,Radial Velocity,61 Vir,-0.01,0.95,0.94,5531.0,140300.74554537586,0.024313439608304066,4130481947891750.0,1.0106382978723405,0.02426213298663954,-0.32239304727950685,1.995798319327731,0.008129420372327452,1.143773537655433,0.2542857142857143,-1.7790406968202803
47,6 Lyn b,,0.24213200000000001,934.3,2.11,0.07300000000000001,673.8,Radial Velocity,6 Lyn,-0.13,1.7,5.2,4978.0,92923.45132192264,0.014189790215293725,137928704942444.25,0.3269230769230769,0.02426213298663954,0.3242824552976926,0.8056872037914692,0.0010703200256876808,0.012090350477924441,0.2542857142857143,-1.418272246986254
48,70 Vir Ab,8.0,0.24480000000000002,116.67,0.48,0.43,896.4,Radial Velocity,70 Vir A,-0.11,0.92,1.968,5432.0,123082.03938802086,0.0258500809757967,3778823176551111.0,0.467479674796748,0.02426213298663954,-0.3187587626244128,1.9166666666666667,0.008571183680466271,0.12070146603706768,0.2542857142857143,-1.407313728343966
49,75 Cet Ab,,0.2938,696.6,1.912,0.093,795.4000000000001,Radial Velocity,75 Cet A,0.0,2.49,10.5,4846.0,69422.98391347035,0.017245837363375493,150854358830557.06,0.23714285714285716,0.02426213298663954,0.2814878879400812,1.3023012552301256,0.001435544071202986,0.0021509556203433756,0.2542857142857143,-1.2248560152423602
50,75 Cet Ac,,0.46080000000000004,2052.0,3.929,0.022999999999999993,1000.8000000000001,Radial Velocity,75 Cet A,0.0,2.49,10.5,4846.0,69423.83913188081,0.012030523914185475,35724781528315.95,0.23714285714285716,0.02426213298663954,0.5942820288118061,0.6337490455586664,0.0004873294346978557,0.0021509556203433756,0.2542857142857143,-0.7747911696004555
51,79 Cet Ab,,0.23988400000000001,75.82,0.35,0.28,1340.6,Radial Velocity,79 Cet A,0.019999999999999997,1.01,1.0,5533.0,134079.82274052477,0.029004416479990178,7650795471836091.0,1.01,0.02426213298663954,-0.4559319556497244,2.885714285714286,0.013189132155104196,1.01,0.2542857142857143,-1.4275998058166857
52,81 Cet b,,1.5675999999999999,952.7,2.5,0.206,1028.6,Radial Velocity,81 Cet,-0.06,2.4,11.0,5533.0,58088.78656,0.01648783800561453,9.032184334005978e+16,0.21818181818181817,0.02426213298663954,0.3979400086720376,0.96,0.001049648367796788,0.0018031555221637865,0.2542857142857143,0.4495457873433393
53,82 Eri b,,0.5136999999999999,18.313,0.1257,0.056999999999999995,738.8000000000001,Radial Velocity,82 Eri,-0.38,0.813,0.9,5490.0,168854.70163658803,0.04312763572939847,5.749350988545292e+16,0.9033333333333332,0.02426213298663954,-0.9006647223140423,6.467780429594272,0.05460601758313766,1.1152263374485594,0.2542857142857143,-0.666115841508915
