name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
K2-72 d,,0.09,7.760178,0.05,0.11,551.8,Primary Transit,K2-72,0.005999999999999983,0.27,0.33,3360.47
K2-72 e,,0.115,24.158868,0.106,0.11,551.8,Primary Transit,K2-72,0.005999999999999983,0.27,0.33,3360.47
K2-73 b,,0.219,7.49543,0.07619,0.124,886.0,Primary Transit,K2-73,0.04000000000000001,1.02,1.058,5867.0
K2-74 b,,0.206,19.5666,0.1402,0.008999999999999994,851.4,Primary Transit,K2-74,-0.034,0.96,0.98,6060.0
K2-75 b,,0.238,7.8142,0.081,0.051000000000000004,1372.6,Primary Transit,K2-75,0.0392,1.16,1.56,5995.0
K2-75 c,,0.247,18.311,0.1429,0.051000000000000004,1372.6,Primary Transit,K2-75,0.0392,1.16,1.56,5995.0
K2-77 b,1.9,0.205,8.199796,0.07511536447757408,0.14,857.4,Primary Transit,K2-77,0.29,0.8,0.76,4970.0
K2-79 b,0.0371,0.3649,10.99475,0.0987,0.078,1021.0,Primary Transit,K2-79,-0.005999999999999998,1.06,1.28,5926.0
K2-7 b,,0.238,28.67992,0.1814,0.3584,651.0,Primary Transit,K2-7,-0.25,1.0,1.56,5699.0
K2-80 b,,0.179,19.0918,0.135,0.03,663.2,Primary Transit,K2-80,0.19499999999999995,0.9,0.87,5441.0
K2-80 c,,0.131,5.605,0.0596,0.03,663.2,Primary Transit,K2-80,0.19499999999999995,0.9,0.87,5441.0
K2-80 d,,0.228,28.867253,0.18079283993102524,0.03,663.2,Primary Transit,K2-80,0.19499999999999995,0.9,0.87,5441.0
K2-81 b,,0.176,6.102325,0.059,0.06,727.6,Primary Transit,K2-81,0.041400000000000006,0.75,0.63,4674.13
K2-83 b,,0.111,2.74697,0.03014,0.15299999999999997,628.2,Primary Transit,K2-83,-0.00839999999999999,0.48000000000000004,0.42,3910.0
K2-83 c,,0.132,9.99767,0.07131,0.15299999999999997,628.2,Primary Transit,K2-83,-0.00839999999999999,0.48000000000000004,0.42,3910.0
K2-84 b,,0.215,6.4215,0.0665,0.008940000000000003,834.0,Primary Transit,K2-84,0.010599999999999995,0.95,0.93,5652.0
K2-84 c,,0.181,27.86,0.1768,0.008940000000000003,834.0,Primary Transit,K2-84,0.010599999999999995,0.95,0.93,5652.0
K2-85 b,,0.09,0.684533,0.01263,0.114,713.0,Primary Transit,K2-85,-0.14908000000000002,0.57,0.51,4268.0
K2-86 b,,0.175,8.77683,0.077,0.078,917.8,Primary Transit,K2-86,-0.1002,0.79,0.76,5482.0
K2-87 b,0.1192,0.678,9.726618,0.094,0.21760000000000002,979.0,Primary Transit,K2-87,0.328,1.16,1.4,5747.0
K2-88 b,,0.11,4.6122,0.0345,0.06659999999999999,641.6,Primary Transit,K2-88,-0.098,0.26,0.26,3537.0
K2-89 b,,0.055,1.096026,0.01462,0.0364,771.8,Primary Transit,K2-89,-0.244,0.35,0.32,3691.0
K2-8 b,,0.319,10.35239,0.0856,0.2278,631.0,Primary Transit,K2-8,0.019999999999999997,0.78,0.75,4846.0
K2-8 c,,0.215,5.06416,0.0532,0.012399999999999994,801.0,Primary Transit,K2-8,0.019999999999999997,0.78,0.75,4846.0
K2-90 b,0.028,0.232,13.733314,0.096,0.22959999999999997,502.0,Primary Transit,K2-90,-0.225,0.63,0.62,4484.0
K2-90 c,,0.116,2.900706,0.035,0.19,579.3199999999999,Primary Transit,K2-90,-0.225,0.63,0.62,4484.0
K2-91 b,,0.098,1.419549,0.0164,0.14,561.8599999999999,Primary Transit,K2-91,-0.03799999999999999,0.29000000000000004,0.28,3622.0
K2-95 b,1.67,0.346,10.134016,0.0696,0.16,383.0,Primary Transit,K2-95,-0.03,0.44,0.42,3548.0
K2-97 b,1.1,0.947,8.406726,0.086,0.05002,1499.0,Primary Transit,K2-97,0.33,1.2,4.47,4717.0
K2-98 b,0.101,0.464,10.136448,0.0974,0.26480000000000004,1092.0,Primary Transit,K2-98,-0.06,1.2,1.57,6172.0
K2-99 b,0.87,1.046,18.24783,0.153,0.22000000000000003,1184.0,Primary Transit,K2-99,0.21,1.63,2.63,6217.0
K2-9 b,,0.201,18.4498,0.091,0.16519999999999999,314.0,Primary Transit,K2-9,-0.25,0.30000000000000004,0.322,3528.0
KELT-10 b,0.679,1.399,4.166285,0.0525,0.06,1377.0,Primary Transit,KELT-10,0.09,1.112,1.209,5948.0
KELT-11 Ab,0.195,1.3,4.736529,0.06229,0.0,1712.0,Primary Transit,KELT-11 A,0.18,1.438,2.72,5370.0
KELT-12 b,0.95,1.79,5.0316144,0.0617,0.0,1530.8,Primary Transit,WASP-86,0.23,1.239,1.291,6330.0
KELT-15 Ab,0.93,1.468,3.32,0.04664,0.28,1225.4,Primary Transit,KELT-15 A,0.047,1.181,1.481,6003.0
KELT-16 Ab,2.75,1.415,0.9689951,0.02044,0.0816,1556.4,Primary Transit,KELT-16 A,-0.002,1.211,1.36,6236.0
KELT-17 b,1.31,1.525,3.0801716,0.04881,0.18239999999999998,2087.0,Primary Transit,KELT-17,-0.018,1.635,1.645,7454.0
KELT-18 Ab,1.176,1.568,2.8716082,0.04573,0.0,2077.0,Primary Transit,KELT-18 A,0.09,1.524,1.908,6670.0
KELT-19 Ab,4.07,1.91,4.6117093,0.06475048691494077,0.22599999999999998,1935.0,Primary Transit,KELT-19 A,-0.12,1.62,1.83,7500.0
KELT-20 Ab,3.518,1.83,3.4741085,0.0542,0.05478000000000001,2230.0,Primary Transit,KELT-20 A,-0.2899999999999999,2.0,1.561,8981.0
KELT-21 Ab,3.88,1.584,3.6127732,0.0536,0.08259999999999999,2025.0,Primary Transit,KELT-21 A,-0.405,1.458,1.638,7598.0
KELT-22 Ab,3.69,1.2,1.38665318,0.0248,0.0,1880.0,Primary Transit,KELT-22 A,0.15999999999999998,1.05,1.11,5700.0
KELT-23 Ab,0.937,1.29,2.25528756,0.03523,0.0914,1513.0,Primary Transit,KELT-23 A,-0.105,0.942,0.996,5899.0
KELT-2 Ab,1.486,1.306,4.1137914,0.05498,0.185,1244.2,Primary Transit,KELT-2 A,-0.015,1.31,1.842,6148.0
KELT-3 Ab,1.47,1.35,2.7033904,0.04117,0.0,1643.0,Primary Transit,KELT-3 A,0.048,1.34,1.61,6518.0
KELT-4 Ab,0.9,1.7,2.989594,0.04321,0.03,1827.0,Radial Velocity,KELT-4 A,-0.116,1.204,1.61,6207.0
KELT-6 b,0.44,1.13,7.8456067,0.0747,0.028999999999999998,1366.0,Primary Transit,KELT-6,-0.27,1.126,1.529,6272.0
KELT-7 b,1.33,1.52,2.734784,0.0446,0.18399999999999997,2025.0,Primary Transit,KELT-7,0.46,1.6400000000000001,1.75,6770.0
KELT-8 b,0.874,1.86,3.24406,0.04571,0.035,1675.0,Primary Transit,KELT-8,0.27,1.211,1.67,5754.0
KELT-9 Ab,2.88,1.936,1.4811235,0.03368,0.0,3921.0,Primary Transit,KELT-9 A,-0.03,2.52,2.362,10170.0
Kepler-1000 b,,0.425,120.0181272,0.5416315993741401,0.0632,1758.6000000000001,Primary Transit,Kepler-1000,0.35,1.4,1.51,6453.0
Kepler-1001 b,,0.281,14.30511983,0.11321533463256268,0.022,772.4,Primary Transit,Kepler-1001,-0.03,0.9,0.88,5491.0
Kepler-1001 c,,0.141,9.18186,0.08424252307131887,0.022,772.4,Primary Transit,Kepler-1001,-0.03,0.9,0.88,5491.0
Kepler-1002 Ab,,0.1561,4.33642933,0.0564,0.0,1453.0,Primary Transit,Kepler-1002 A,0.12,1.275,1.603,6180.0
Kepler-1003 b,,0.159,3.55485691,0.04799019269113875,0.08600000000000001,942.6,Primary Transit,Kepler-1003,0.01,1.11,1.17,6109.0
Kepler-1004 b,,0.56,5.28789787,0.06253547457466063,0.08600000000000001,944.0,Primary Transit,Kepler-1004,-0.039999999999999994,1.11,3.39,4972.0
Kepler-1005 b,,0.134,6.49801525,0.06929212850838887,0.9713999999999999,1110.4,Primary Transit,Kepler-1005,0.019999999999999997,1.0,1.06,5782.0
Kepler-1006 Ab,,0.137,19.76172042,0.14848883315108924,0.1346,1300.0,Primary Transit,Kepler-1006 A,-0.14,1.064,1.175,6327.0
Kepler-1007 Ab,,0.1026,5.18498961,0.048,0.0,652.0,Primary Transit,Kepler-1007 A,0.23,0.73,0.7,4587.0
Kepler-1008 Ab,,0.116,12.43929428,0.0951,0.0,627.0,Primary Transit,Kepler-1008 A,0.045,0.85,0.724,5066.94
Kepler-1009 b,,0.194,11.35011917,0.08429096699542118,0.02239999999999999,855.2,Primary Transit,Kepler-1009,-0.12,0.59,0.57,4027.0
Kepler-100 b,0.023,0.118,6.88705,0.07390267533279947,0.13,1257.1999999999998,Primary Transit,Kepler-100,0.019999999999999997,1.08,1.49,5825.0
Kepler-100 c,0.02218,0.196,12.8159,0.11180745014749863,0.020000000000000004,906.2,Primary Transit,Kepler-100,0.019999999999999997,1.08,1.49,5825.0
Kepler-100 d,0.00944,0.144,35.3331,0.21983280337048355,0.38,1089.2,Primary Transit,Kepler-100,0.019999999999999997,1.08,1.49,5825.0
Kepler-1010 Ab,,0.2177,34.2685741,0.193,0.0,477.0,Primary Transit,Kepler-1010,-0.01,0.86,0.79,5123.0
Kepler-1011 b,,0.256,5.75322197,0.061913397356695966,0.016799999999999995,906.2,Primary Transit,Kepler-1011,0.08,0.91,0.88,5416.0
Kepler-1012 b,,0.115,5.50860439,0.06101439964186755,0.08940000000000001,980.0,Primary Transit,Kepler-1012,0.05,0.95,0.91,5556.0
Kepler-1013 b,,0.192,18.93054959,0.1317550406452207,0.11639999999999999,708.0,Primary Transit,Kepler-1013,0.04000000000000001,0.81,0.76,4954.0
Kepler-1014 b,,0.213,16.57110363,0.12394393046072069,0.0,1240.4,Primary Transit,Kepler-1014,-0.06,0.88,0.84,5388.0
Kepler-1015 b,,0.317,16.00494214,0.1443427293699039,0.2516,1186.2,Primary Transit,Kepler-1015,0.06,1.49,1.81,6769.0
Kepler-1016 b,,0.194,1.95452434,0.031002915619357856,0.0838,1612.6,Primary Transit,Kepler-1016,-0.03,0.99,1.0,5821.0
Kepler-1016 c,,0.328,105.6551369,0.44323654498902243,0.0838,1612.6,Primary Transit,Kepler-1016,-0.03,0.99,1.0,5821.0
Kepler-1017 b,,0.178,7.23400469,0.07265133373574026,0.14359999999999998,1024.6,Primary Transit,Kepler-1017,0.04000000000000001,0.93,0.87,5473.0
Kepler-1018 b,,0.23,49.1013514,0.25856685055158,0.1338,928.4,Primary Transit,Kepler-1018,-0.05,0.91,0.88,5518.0
Kepler-1019 Ab,,0.1526,1.411230023,0.0221,0.0,1164.0,Primary Transit,Kepler-1019 A,-0.16,0.658,0.7445,4205.32
Kepler-101 b,0.16,0.51,3.4876812,0.0474,0.086,1513.0,Primary Transit,Kepler-101,0.33,1.17,1.56,5667.0
Kepler-101 c,0.01,0.112,6.02976,0.0684,0.0,1413.0,Primary Transit,Kepler-101,0.33,1.17,1.56,5667.0
Kepler-1020 b,,0.203,96.9151496,0.4008029867367512,0.0,1246.8000000000002,Primary Transit,Kepler-1020,0.0,0.87,0.8,5227.0
Kepler-1021 b,,0.208,13.47469571,0.10838588579187824,0.0,935.8,Primary Transit,Kepler-1021,-0.05,0.89,0.86,5431.0
Kepler-1022 b,,0.211,10.99469878,0.08777518590048015,0.046000000000000006,898.94,Primary Transit,Kepler-1022,0.06,0.71,0.68,4445.0
Kepler-1023 b,,0.235,62.1387714,0.3047189821359567,0.20800000000000002,1024.6,Primary Transit,Kepler-1023,0.05,0.93,0.89,5494.0
Kepler-1024 b,,0.349,66.4162133,0.30421070891589963,0.036,906.8,Primary Transit,Kepler-1024,-0.1,0.81,0.78,5143.0
Kepler-1025 b,,0.177,37.3229493,0.22871231714636314,0.026000000000000002,1108.0,Primary Transit,Kepler-1025,-0.03,1.09,1.13,6089.0
Kepler-1026 b,,0.197,36.5156053,0.20246880417233348,0.0194,866.0,Primary Transit,Kepler-1026,-0.02,0.79,0.75,4948.0
Kepler-1027 Ab,,0.0812,1.907810683,0.0295,0.0,1268.0,Primary Transit,Kepler-1027 A,0.0,0.92,1.179,5348.0
Kepler-1028 b,,0.119,2.51462432,0.03552709212258026,0.030199999999999998,898.2,Primary Transit,Kepler-1028,-0.09,0.9,0.87,5522.0
Kepler-1029 b,,0.112,4.41769648,0.050145498329663134,0.036,715.0,Primary Transit,Kepler-1029,0.01,0.82,0.77,5030.0
Kepler-102 b,0.01353,0.042,5.28696,0.055,0.16940000000000002,792.0,Primary Transit,Kepler-102,0.18,0.81,0.76,4909.0
Kepler-102 c,0.00944,0.052,7.07142,0.067,0.0194,718.0,Primary Transit,Kepler-102,0.18,0.81,0.76,4909.0
Kepler-102 d,0.012,0.105,10.3117,0.0878776842666659,0.036,761.2,Primary Transit,Kepler-102,0.18,0.81,0.76,4909.0
Kepler-102 e,0.028,0.198,16.1457,0.117,0.0,579.0,Primary Transit,Kepler-102,0.18,0.81,0.76,4909.0
Kepler-102 f,0.01636,0.079,27.4536,0.165,0.0474,457.0,Primary Transit,Kepler-102,0.18,0.81,0.76,4909.0
Kepler-1030 b,,0.221,19.32952416,0.13304774627244456,0.0,805.6,Primary Transit,Kepler-1030,-0.01,0.8,0.76,4983.0
Kepler-1031 Ab,,0.078,1.22621732,0.023461217626843188,0.11399999999999999,803.8,Primary Transit,Kepler-1031 A,-0.09,1.09,1.12,6051.81
Kepler-1032 Ab,,0.167,3.29011795,0.04034607623258506,0.04,894.2,Primary Transit,Kepler-1032 A,0.15999999999999998,0.77,0.71,4647.0
Kepler-1033 b,,0.224,7.56052806,0.07508861989963518,0.0,869.6,Primary Transit,Kepler-1033,0.06,0.94,0.92,5547.0
Kepler-1034 b,,0.202,12.12400943,0.09869313829387065,0.08,911.0,Primary Transit,Kepler-1034,-0.06,0.83,0.8,5198.0
