name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
Kepler-1035 Ab,,0.1231,2.714078374,0.0386,0.0,1301.0,Primary Transit,Kepler-1035 A,0.2135,1.03,0.97,5753.5
Kepler-1036 b,,0.269,122.8808058,0.4834972261206211,0.1714,923.6,Primary Transit,Kepler-1036,0.04000000000000001,0.95,0.89,5533.0
Kepler-1037 b,,0.114,1.06378867,0.01940907965821496,0.06079999999999999,682.6,Primary Transit,Kepler-1037,-0.03,0.82,0.78,5105.0
Kepler-1038 b,,0.315,148.4603382,0.5366614304492378,0.0,758.2,Primary Transit,Kepler-1038,-0.039999999999999994,0.89,0.8,5238.0
Kepler-1038 c,,0.12633,7.127659798,0.0692,0.0,784.0,Primary Transit,Kepler-1038,-0.039999999999999994,0.89,0.8,5238.0
Kepler-1039 b,,0.13,0.93488424,0.017587779310761487,0.12040000000000001,864.4,Primary Transit,Kepler-1039,0.01,0.79,0.74,4870.0
Kepler-103 b,0.031,0.301,15.9654,0.133,0.17,866.2,Primary Transit,Kepler-103,0.07,1.09,1.44,5845.0
Kepler-103 c,0.114,0.459,179.612,0.6679,0.1,866.2,Primary Transit,Kepler-103,0.07,1.09,1.44,5845.0
Kepler-1040 Ab,,0.2034,201.118319,0.6559,0.0,300.0,Primary Transit,Kepler-1040 A,0.064,1.01,0.9785,5694.0
Kepler-1041 b,,0.262,24.7576421,0.1723474624038908,0.1286,1222.6,Primary Transit,Kepler-1041,0.01,1.06,1.08,5957.0
Kepler-1042 b,,0.195,10.13202575,0.08465410626707175,0.067,612.8,Primary Transit,Kepler-1042 A,-0.1,0.75,0.72,4815.0
Kepler-1043 b,,0.227,38.5053398,0.22068526366250488,0.0,826.6,Primary Transit,Kepler-1043,-0.11,0.92,0.9,5629.0
Kepler-1044 b,,0.238,6.77408868,0.07309234940671124,0.11576,1198.4,Primary Transit,Kepler-1044,0.04000000000000001,1.08,1.11,5985.0
Kepler-1045 b,,0.24,26.41045478,0.1678211997509648,0.056,742.52,Primary Transit,Kepler-1045,-0.03,0.86,0.82,5301.0
Kepler-1046 Ab,,0.153,14.37508035,0.11919225922479958,0.036,1201.6,Primary Transit,Kepler-1046 A,0.0,1.04,1.04,5913.0
Kepler-1047 b,,0.186,56.1886887,0.2995049016739354,0.0488,1214.0,Primary Transit,Kepler-1047,0.29,1.08,1.13,5754.0
Kepler-1047 c,,0.088,3.18897601,0.044232230277409905,0.0488,1214.0,Primary Transit,Kepler-1047,0.29,1.08,1.13,5754.0
Kepler-1048 Ab,,0.144,6.92101021,0.06565938829823628,0.067,667.8,Primary Transit,Kepler-1048 A,0.01,0.75,0.7,4651.0
Kepler-1049 b,,0.085,3.27346074,0.035050286139677554,0.066,649.7,Primary Transit,Kepler-1049,-0.33,0.51,0.49,3864.0
Kepler-104 Ab,0.031314,0.2123,11.427548,0.09286,0.0,852.0,Primary Transit,Kepler-104 A,-0.38,1.08,1.35,5921.0
Kepler-104 Ac,0.0224785,0.2105,23.668205,0.15088,0.0,668.0,Primary Transit,Kepler-104 A,-0.38,1.08,1.35,5921.0
