name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
TOI-3593 b,1.78,0.984,3.8212867,0.0481,Primary Transit,TOI-3593,0.384,1.015,0.918,5550.0,131215.16062218227,0.07908886116169668,4.100924556213018e+17,1.1056644880174291,0.2575048870318995,-1.3178549236261683,21.1018711018711,0.26169195836575154,1.3120125782788066,1.0718954248366013,-0.016129381929883644
TOI-3629 b,0.26,0.74,3.9365578,0.043,Primary Transit,TOI-3629,0.4,0.63,0.6,3870.0,194907.20707284697,0.06863279594388838,1.2131289000000002e+17,1.05,0.18798148981833823,-1.3665315444204136,14.651162790697676,0.2540290402950517,2.916666666666667,1.2333333333333334,-0.3011050927839216
TOI-3664,0.36,1.22,3.2974839,0.0431,Primary Transit,TOI-3664,0.17,0.98,1.11,5593.0,135810.56534297115,0.08212482454863242,5.2677449204041805e+17,0.8828828828828827,0.36997906191444935,-1.3655227298392685,22.737819025522043,0.30326152615938473,0.7165675536749312,1.099099099099099,0.19885085874516517
TOI-3682 Ab,0.218,1.142,3.3462406,0.048,Primary Transit,TOI-3682 A,0.416,1.32,1.735,5703.0,101248.97056829027,0.09012887320314629,4.5912507425159763e+17,0.760806916426513,0.34127850818617167,-1.3187587626244128,27.5,0.29884282678298746,0.252740880308453,0.6582132564841497,0.1327811112338184
TOI-3688 Ab,0.98,0.10410999999999998,3.246075,0.0456,Primary Transit,TOI-3688 A,0.262,1.2,1.302,5950.0,111127.76292866806,0.08826451946039114,6.027513303372191e+17,0.9216589861751151,0.032072579961954055,-1.341035157335565,26.31578947368421,0.3080643546436851,0.5436861794657841,0.07996159754224269,-2.262307246495476
TOI-3693 b,1.02,1.124,8.088516,0.081,Primary Transit,TOI-3693,0.2194,1.0216,0.85,5246.0,123106.9696960829,0.06292106115405427,1.1543648847831978e+17,0.9865269461077845,0.1389624499722817,-1.0915149811213503,8.830474890037763,0.12363207292907623,1.0963722511574077,1.3223529411764707,0.11689375147149943
TOI-3714 Ab,0.689,0.994,2.15484802,0.0263,Primary Transit,TOI-3714 A,0.1,0.53,0.51,3660.0,255250.17274865057,0.07668650969585461,2.5942560881319667e+17,1.0392156862745099,0.4612854320927932,-1.5800442515102422,20.152091254752854,0.46406985119999317,3.9954466984794683,1.9490196078431372,-0.006018072325563021
TOI-3757 b,0.2684,1.07,3.438753,0.03845,Primary Transit,TOI-3757,0.0,0.64,0.62,3913.0,208023.7553184676,0.07025467518634082,1.585793755366086e+17,1.032258064516129,0.3111593068766498,-1.4151036558625503,16.644993498049416,0.290803090538925,2.6853747776174015,1.7258064516129032,0.06765864847381486
TOI-375 b,0.745,0.9609999999999999,9.45469,0.099,Primary Transit,TOI-375,0.084,1.44,2.9,5260.0,92127.44009434203,0.06579119414922956,7.810387611060096e+16,0.496551724137931,0.10164267680907571,-1.00436480540245,14.545454545454545,0.10576761374513602,0.059043011193570874,0.3313793103448276,-0.03978087001184471
TOI-375 c,,0.3792,115.5,0.524,Radial Velocity,TOI-375,0.084,1.44,2.9,5260.0,92719.29216833304,0.028505533341663232,2787920611269739.0,0.496551724137931,0.02426213298663954,-0.28066871301627333,2.748091603053435,0.008658008658008658,0.059043011193570874,0.2542857142857143,-0.9696915086012704
