Unnamed: 0,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_mass,mass_source
5063,NGTS-2 b,0.67,1.536,4.5111204,0.0584,0.0,1638.0,Primary Transit,NGTS-2,-0.06,1.64,1.702,6478.0,0.4291816347254804,102171.6237622657,0.0813407733341118,5.163427464657581e+17,0.963572267920094,0.3404919097260184,-1.2335871528876006,28.082191780821915,0.2216744203945432,0.3326328836607841,0.9024676850763808,-0.1739251972991735,Observed
5064,NGTS-30 b,0.96,0.93,98.29838,0.408,0.29,390.0,Primary Transit,NGTS-30,-0.03,0.94,0.913,5455.0,-0.0725706928348353,142269.63974405229,0.0260791643293538,5319351552591702.0,1.0295728368017525,0.0094609900997351,-0.3893398369101201,2.303921568627451,0.0101731076341237,1.2351381071054133,1.0186199342825848,-0.0177287669604316,Observed
5065,NGTS-31 b,1.12,1.61,4.162734,0.064,0.0,1410.0,Primary Transit,NGTS-31,0.09,1.0624,0.94,5573.0,0.4762341789963717,66102.42597486878,0.0966009021137294,1.300672220682913e+17,0.9957332605531296,0.3867650443194304,-1.193820026016113,11.632943684351554,0.2402267356021307,1.146640925529523,0.2542857142857143,0.0492180226701816,Observed
5066,NGTS-32 b,0.57,1.42,3.31211,0.044,0.0,1750.0,Primary Transit,NGTS-32,0.036,0.864,0.94,5573.0,0.3506568716131693,128780.90547638056,0.0834694963379542,1.300672220682913e+17,0.9957332605531296,0.4287297221408709,-1.3565473235138126,11.632943684351554,0.3019223395358246,1.146640925529523,0.2542857142857143,-0.2441251443275086,Observed
5067,NGTS-33 b,3.63,1.64,2.827972,0.048,0.0,1991.0,Primary Transit,NGTS-33,-0.0492,1.102,0.94,5573.0,0.494696241836107,72314.68490292244,0.106646351075831,1.300672220682913e+17,0.9957332605531296,0.579920876161433,-1.3187587626244128,11.632943684351554,0.3536102903423372,1.146640925529523,0.2542857142857143,0.5599066250361125,Observed
5068,NGTS-34 b,0.0601,0.3256,43.12655,0.257,0.0,624.0,Primary Transit,NGTS-34,0.228,1.266,1.367,6134.0,-1.1220856448537515,109569.5970384975,0.0374427962344577,2.143427705058269e+16,0.9261155815654718,0.0075498735697615,-0.5900668766687055,4.926070038910506,0.0231875723887025,0.4955964216439824,0.2381858083394294,-1.2211255279972604,Observed
5069,NGTS-35 b,0.478,0.972,25.241192,0.16,0.19,450.0,Primary Transit,NGTS-35,0.085,0.789,0.753,4717.0,-0.028399474521698,155546.3314406406,0.0398281368466566,1.9338533613590664e+16,1.047808764940239,0.0385084824837115,-0.7958800173440752,4.93125,0.0396177803330365,1.8479579070883163,1.290836653386454,-0.3205721033878811,Observed
5070,NGTS-39 b,1.47,1.09,58.20472,0.3077,0.39,520.0,Primary Transit,NGTS-39,0.196,1.16,1.16,6053.0,0.0861776962410524,116287.73723794156,0.0332161398425962,1.4178415627519822e+16,1.0,0.0187270035832145,-0.5118725037525416,3.769905752356191,0.0171807372323069,0.7431629013079668,0.9396551724137931,0.1673173347481761,Observed
5071,NGTS-3 Ab,2.38,1.48,1.6753728,0.023,0.0,1567.0,Primary Transit,NGTS-3 A,0.12,1.017,0.93,5570.0,0.3920420877760237,230695.6537338572,0.0862573763076077,1.8195546692060493e+18,1.093548387096774,0.8833854769517566,-1.6382721639824072,44.21739130434782,0.5968820790214572,1.2643639577948595,1.5913978494623655,0.3765769570565119,Observed
5072,NGTS-4 b,0.0648,0.2837,1.3373508,0.019,0.0,1650.0,Primary Transit,NGTS-4,-0.28,0.75,0.84,5143.0,-1.2598379371673314,260753.34046663364,0.0892664219712674,1.9380228595612216e+18,0.8928571428571429,0.2121358135801017,-1.7212463990471711,39.47368421052632,0.7477469636239048,1.265387107223842,0.3377380952380953,-1.1884249941294067,Observed
